/usr/bin/python3.10 /home/reto/workspace/villa_availability/src/villa_availabitlity/main.py
********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
********************************
Your choice: 2
--- Show NMB data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | May 2025 | Jun 2025 |  Average |
| Villa Penelope                 |     32.3 |     28.6 |     48.4 |     43.3 |      0.0 |      0.0 |     25.4 |
| Villa Pure 22                  |     51.6 |    100.0 |    100.0 |     60.0 |    100.0 |     83.3 |     82.5 |
| Villa Pure Balance             |    100.0 |    100.0 |     90.3 |    100.0 |     83.9 |     33.3 |     84.6 |
| Villa Riverside                |    100.0 |     71.4 |     32.3 |      0.0 |      0.0 |      0.0 |     33.9 |
| Villa Riviera                  |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |     46.7 |     91.1 |
| Villa Royal Sereni Tee         |     32.3 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      5.4 |
| Villa Royal's Paradise         |     61.3 |     96.4 |    100.0 |     40.0 |      0.0 |      0.0 |     49.6 |
| Villa Safira                   |     61.3 |    100.0 |    100.0 |     73.3 |    100.0 |    100.0 |     89.1 |
| Villa Sea Turtle               |    100.0 |    100.0 |    100.0 |     83.3 |     12.9 |      0.0 |     66.0 |
| Villa Seas the Day             |     32.3 |     28.6 |     35.5 |      0.0 |      0.0 |      0.0 |     16.1 |
| Villa Seaside Rendezvous       |     35.5 |      0.0 |     96.8 |    100.0 |      0.0 |      0.0 |     38.7 |
| Villa Serenissima              |    100.0 |     89.3 |     29.0 |      0.0 |     25.8 |      0.0 |     40.7 |
| Villa Serenity                 |    100.0 |    100.0 |     67.7 |    100.0 |      6.5 |      0.0 |     62.4 |
| Villa Solaris at the Lake      |    100.0 |    100.0 |    100.0 |     90.0 |     51.6 |      0.0 |     73.6 |
| Villa Soleil Brilliant         |    100.0 |    100.0 |    100.0 |      0.0 |      0.0 |      0.0 |     50.0 |
| Villa South West               |     54.8 |    100.0 |     74.2 |    100.0 |     12.9 |      0.0 |     57.0 |
| Villa Splendid                 |     83.9 |    100.0 |     45.2 |     63.3 |     19.4 |      0.0 |     52.0 |
| Villa Spreader Pearl           |     74.2 |     82.1 |     58.1 |     63.3 |      0.0 |      0.0 |     46.3 |
| Villa Starview                 |     74.2 |    100.0 |    100.0 |     66.7 |     45.2 |      0.0 |     64.3 |
| Villa Sundown                  |     32.3 |     85.7 |     32.3 |     86.7 |      0.0 |      0.0 |     39.5 |
| Villa Sunset Breeze            |     32.3 |     75.0 |     80.6 |     46.7 |      0.0 |     96.7 |     55.2 |
| Villa Sunset Paradise          |     32.3 |     46.4 |     71.0 |      0.0 |     19.4 |    100.0 |     44.8 |
| Villa The Diamond              |     32.3 |     96.4 |    100.0 |    100.0 |     12.9 |      0.0 |     56.9 |
| Villa The Keys                 |     32.3 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      5.4 |
| Villa The Magnificence         |     54.8 |     75.0 |    100.0 |     43.3 |     29.0 |     23.3 |     54.3 |
| Villa The View                 |     61.3 |     96.4 |    100.0 |    100.0 |     41.9 |     53.3 |     75.5 |
| Villa Tropicana                |    100.0 |     85.7 |    100.0 |    100.0 |    100.0 |    100.0 |     97.6 |
| Villa Valentina                |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |      0.0 |     83.3 |
| Villa Venezia                  |    100.0 |    100.0 |    100.0 |     63.3 |     29.0 |      0.0 |     65.4 |
| Villa Vibes                    |    100.0 |    100.0 |    100.0 |     83.3 |      0.0 |      0.0 |     63.9 |
| Villa Victoria                 |    100.0 |    100.0 |     48.4 |      0.0 |      0.0 |      0.0 |     41.4 |
| Villa White Style              |    100.0 |    100.0 |    100.0 |     70.0 |     48.4 |     73.3 |     82.0 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
